entry,mean,sd
0,0.0,1.0
1,0.0,1.562049935181331
2,0.0,2.041568024827975
3,0.0,2.4983194351403504
4,0.0,2.954643802558948
5,0.0,3.422850274259743
6,0.0,3.911404453645774
7,0.0,4.427064688933289
8,0.0,4.9758096941100955
9,0.0,5.563310033999542
10,0.0,6.195199935537189
11,0.0,6.877252553857244
12,0.0,7.615505447929452
13,0.0,8.416359538002865
14,0.0,9.286664064534593
15,0.0,10.233794767192755
16,0.0,11.265729732441931
17,0.0,12.391125844139886
18,0.0,13.619397917028992
19,0.0,14.960802102389042
20,0.0,16.426524874611125
21,0.0,18.02877875363336
22,0.0,19.780905844196166
23,0.0,21.69749025164765
24,0.0,23.794480449558332
25,0.0,26.08932271710587
26,0.0,28.6011068283162
27,0.0,31.350725257411614
28,0.0,34.36104726283598
29,0.0,37.65710932611022
30,0.0,41.26632355030359
31,0.0,45.21870576686167
32,0.0,49.547125259453864
33,0.0,54.28757819033018
34,0.0,59.47948700960236
35,0.0,65.16602834230844
36,0.0,71.39449208372208
37,0.0,78.21667469198103
38,0.0,85.68930995080672
39,0.0,93.87454078617112
40,0.0,102.84043606178169
41,0.0,112.6615566520048
42,0.0,123.41957550041835
43,0.0,135.20395682096054
44,0.0,148.1127000903467
45,0.0,162.25315501913542
46,0.0,177.74291427901227
47,0.0,194.71079141042895
48,0.0,213.29789204305484
49,0.0,233.65878733746098
50,0.0,255.9627994065063
51,0.0,280.39540940610715
52,0.0,307.15980000517993
53,0.0,336.4785450620389
54,0.0,368.59546055869953
55,0.0,403.77763218555805
56,0.0,442.31763643794596
57,0.0,484.535973695309
58,0.0,530.7837335166116
59,0.0,581.4455143166899
60,0.0,636.9426217037136
61,0.0,697.7365720752782
62,0.0,764.3329306091895
63,0.0,837.2855155658423
64,0.0,917.2010038653632
65,0.0,1004.7439762396966
66,0.0,1100.6424439153468
67,0.0,1205.6939027869123
68,0.0,1320.77196542819
69,0.0,1446.8336260929425
70,0.0,1584.9272191214027
71,0.0,1736.2011369349702
72,0.0,1901.9133801183323
73,0.0,2083.4420190079127
74,0.0,2282.296653785682
75,0.0,2500.1309683809736
76,0.0,2738.7564825791105
77,0.0,3000.157616699983
78,0.0,3286.508194125112
79,0.0,3600.189518908943
80,0.0,3943.81017880858
81,0.0,4320.227738414839
82,0.0,4732.572502785647
83,0.0,5184.273549201214
84,0.0,5679.087243522222
85,0.0,6221.128478294287
86,0.0,6814.904892376197
87,0.0,7465.35435666383
88,0.0,8177.886037642708
89,0.0,8958.425380255498
90,0.0,9813.463384163973
91,0.0,10750.110583189013
92,0.0,11776.156176824037
93,0.0,12900.132805562162
94,0.0,14131.387508711567
95,0.0,15480.159454787381
96,0.0,16957.66509088948
97,0.0,18576.19141917218
98,0.0,20349.198176097045
99,0.0,22291.429764196047
