index,features,covariates
idx0,feature0,-0.19977567641732827
idx1,feature0,0.35176911114814485
idx2,feature0,-0.06461450317993958
idx3,feature0,-0.41777756873569705
idx4,feature0,1.0253949584119046
idx5,feature0,-0.012294049023531073
idx6,feature0,0.055286537595163235
idx7,feature0,0.49565036007826835
idx8,feature0,-0.14963524118410343
idx9,feature0,-0.278256357651941
idx10,feature0,-0.550758723049902
idx11,feature0,-0.3676371335024723
idx12,feature0,-0.46355796612255457
idx13,feature0,-0.43957775796753396
idx14,feature0,-0.36545711457928853
idx15,feature0,0.01386617805467318
idx16,feature0,0.1315871999065924
idx17,feature0,-0.21721582780279783
idx18,feature0,-0.047174351794470104
idx19,feature0,-0.3610970767329212
idx20,feature0,0.39536948961181867
idx21,feature0,0.8117531039399031
idx22,feature0,-0.4199575876588808
idx23,feature0,-0.3850772848879418
idx24,feature0,0.0029660834387547287
idx25,feature0,-0.1975956574941446
idx26,feature0,-0.30659660365332897
idx27,feature0,-0.2499161116505531
idx28,feature0,-0.41777756873569705
idx29,feature0,-0.22375588457234885
idx30,feature0,-0.11257491948998073
idx31,feature0,-0.45265787150663617
idx32,feature0,-0.21067577103324672
idx33,feature0,0.32778890299312435
idx34,feature0,0.042206424056061106
idx35,feature0,-0.18669556287822614
idx36,feature0,-0.43085768227479926
idx37,feature0,0.09016684036610234
idx38,feature0,-0.3676371335024723
idx39,feature0,-0.4373977390443503
idx40,feature0,-0.4875381742775751
idx41,feature0,-0.43303770119798296
idx42,feature0,-0.17579546826230769
idx43,feature0,-0.43303770119798296
idx44,feature0,-0.07551459779585804
idx45,feature0,0.25366825960487893
idx46,feature0,0.035666367286510084
idx47,feature0,0.1773675972934498
idx48,feature0,-0.22157586564916518
idx49,feature0,-0.376357209195207
idx50,feature0,0.133767218829776
idx51,feature0,-0.35019698211700273
idx52,feature0,-0.44611781473708506
idx53,feature0,0.0029660834387547287
idx54,feature0,-0.3480169631938191
idx55,feature0,-0.1975956574941446
idx56,feature0,-0.3044165847301453
idx57,feature0,-0.16489537364638923
idx58,feature0,-0.14527520333773608
idx59,feature0,-0.3632770956561049
idx60,feature0,-0.3523770010401865
idx61,feature0,-0.34147690642426803
idx62,feature0,-0.44829783366026876
idx63,feature0,-0.4897181932007588
idx64,feature0,-0.480998117508024
idx65,feature0,-0.25209613057373675
idx66,feature0,-0.05807444641038855
idx67,feature0,0.16646750267753135
idx68,feature0,-0.21067577103324672
idx69,feature0,-0.16489537364638923
idx70,feature0,-0.4940782310471262
idx71,feature0,-0.5572987798194532
idx72,feature0,-0.1823355250318588
idx73,feature0,-0.3327568307315333
idx74,feature0,-0.3981573984270439
idx75,feature0,-0.19541563857096092
idx76,feature0,-0.1147549384131644
idx77,feature0,0.0967068971356533
idx78,feature0,-0.13219508979863395
idx79,feature0,-0.4003374173502276
idx80,feature0,-0.1365551276450013
idx81,feature0,-0.41777756873569705
idx82,feature0,0.2558482785280626
idx83,feature0,-0.16271535472320556
idx84,feature0,0.18826769190936823
idx85,feature0,0.15992744590798025
idx86,feature0,-0.22593590349553253
idx87,feature0,1.2303167371911712
idx88,feature0,-0.038454276101735324
idx89,feature0,-0.12347501410589919
idx90,feature0,-0.3610970767329212
idx91,feature0,-0.0842346734885928
idx92,feature0,-0.068974541026307
idx93,feature0,0.36484922468724706
idx94,feature0,-0.5812789879744737
idx95,feature0,-0.0013939544076126214
idx96,feature0,-0.24119603595781833
idx97,feature0,0.43460983022912497
idx98,feature0,2.226585385086117
idx99,feature0,-0.1975956574941446
idx100,feature0,0.735452441628474
idx101,feature0,0.09452687821246969
idx102,feature0,0.6438916468547592
idx103,feature0,-0.28261639549830847
idx104,feature0,0.03348634836332641
idx105,feature0,-0.3828972659647581
idx106,feature0,0.08580680251973484
idx107,feature0,0.2972686380685526
idx108,feature0,0.6700518739329634
idx109,feature0,-0.060254465333572226
idx110,feature0,-0.17797548718549136
idx111,feature0,0.5196305682332888
idx112,feature0,0.3539491300713286
idx113,feature0,-0.018834105793082173
idx114,feature0,-0.38725730381112544
idx115,feature0,0.26674837314398103
idx116,feature0,-0.43085768227479926
idx117,feature0,-0.13873514656818497
idx118,feature0,0.1555674080616129
idx119,feature0,-0.06679452210312325
idx120,feature0,0.11850708636749019
idx121,feature0,-0.28261639549830847
idx122,feature0,-0.09295474918132758
idx123,feature0,-0.047174351794470104
idx124,feature0,0.21006788114120514
idx125,feature0,-0.13873514656818497
idx126,feature0,0.922934069022271
idx127,feature0,-0.18015550610867512
idx128,feature0,0.17954761621663354
idx129,feature0,2.3530264826307707
idx130,feature0,0.32996892191630794
idx131,feature0,1.871242300607176
idx132,feature0,1.474478856587744
idx133,feature0,1.0864354882610479
idx134,feature0,1.7251810327538686
idx135,feature0,-0.43085768227479926
idx136,feature0,1.736081127369787
idx137,feature0,0.30162867591492
idx138,feature0,0.9578143717932102
idx139,feature0,-0.278256357651941
idx140,feature0,0.26238833529761363
idx141,feature0,0.9054939176368016
idx142,feature0,0.5109104925405541
idx143,feature0,0.48911030330871724
idx144,feature0,0.016046196977856857
idx145,feature0,0.9360141825613733
idx146,feature0,1.5900198595164796
idx147,feature0,0.7899529147080662
idx148,feature0,0.9163940122527201
idx149,feature0,-0.18451554395504247
idx150,feature0,-0.18015550610867512
idx151,feature0,-0.13219508979863395
idx152,feature0,-0.35019698211700273
idx153,feature0,-0.12783505195226652
idx154,feature0,-0.38071724704157434
idx155,feature0,-0.17579546826230769
idx156,feature0,-0.5333185716644326
idx157,feature0,-0.1975956574941446
idx158,feature0,-0.40251743627341124
idx159,feature0,-0.12347501410589919
idx160,feature0,-0.07333457887267435
idx161,feature0,0.02912631051695898
idx162,feature0,-0.16271535472320556
idx163,feature0,-0.4788180985848404
idx164,feature0,-0.28043637657512477
idx165,feature0,-0.15399527903047078
idx166,feature0,0.2602083163744299
idx167,feature0,-0.33711686857790063
idx168,feature0,-0.6030791772063105
idx169,feature0,-0.3523770010401865
idx170,feature0,-0.3436569253474517
idx171,feature0,-0.24555607380418576
idx172,feature0,-0.24337605488100209
idx173,feature0,0.08144676467336749
idx174,feature0,-0.2193958467259815
idx175,feature0,0.005146102361938404
idx176,feature0,0.7485325551675761
idx177,feature0,-0.1975956574941446
idx178,feature0,-0.20631573318687937
idx179,feature0,0.2231479946803072
idx180,feature0,0.04002640513287743
idx181,feature0,0.2863685434526342
idx182,feature0,-0.4286776633516155
idx183,feature0,-0.4264976444284319
idx184,feature0,-0.04935437071765378
idx185,feature0,0.10542697282838814
idx186,feature0,-0.18015550610867512
idx187,feature0,0.16646750267753135
idx188,feature0,-0.4417577768907177
idx189,feature0,-0.29133647119104317
idx190,feature0,-0.29569650903741057
idx191,feature0,0.050926499748795886
idx192,feature0,-0.5136984013557794
idx193,feature0,-0.19323561964777725
idx194,feature0,0.21878795683393984
idx195,feature0,-0.35455701996337013
idx196,feature0,-0.5267785148948815
idx197,feature0,0.162107464831164
idx198,feature0,-0.11693495733634808
idx199,feature0,-0.3828972659647581
idx200,feature0,-0.35019698211700273
idx201,feature0,0.09452687821246969
idx202,feature0,-0.04281431394810275
idx203,feature0,-0.2281159224187162
idx204,feature0,0.06836665113426543
idx205,feature0,0.5021904168478194
idx206,feature0,0.02476627267059163
idx207,feature0,-0.068974541026307
idx0,feature1,-0.02032411729287591
idx1,feature1,0.21081519649545366
idx2,feature1,0.30053374592645005
idx3,feature1,-0.3244547933301517
idx4,feature1,0.42826862986210595
idx5,feature1,0.10436945988240715
idx6,feature1,0.8692581101161558
idx7,feature1,0.24883153100011318
idx8,feature1,-0.014241503772130433
idx9,feature1,-0.321413486569779
idx10,feature1,-0.48868535839028066
idx11,feature1,-0.11460462686443142
idx12,feature1,-0.4537103306459939
idx13,feature1,-0.4902060117704671
idx14,feature1,0.07395639227867955
idx15,feature1,0.35071530747260055
idx16,feature1,-0.40809072924040257
idx17,feature1,0.33855008043110946
idx18,feature1,-0.4445864103648757
idx19,feature1,-0.3579091676942521
idx20,feature1,0.18952604917284438
idx21,feature1,0.28988917226514543
idx22,feature1,0.15150971466818489
idx23,feature1,-0.3563885143140657
idx24,feature1,0.39481425549800553
idx25,feature1,-0.5449495334571767
idx26,feature1,-0.09787743968238125
idx27,feature1,-0.12829050728610886
idx28,feature1,-0.1663068417907683
idx29,feature1,-0.11612528024461778
idx30,feature1,-0.2529840844613919
idx31,feature1,-0.35182655417350656
idx32,feature1,-0.2605873513623238
idx33,feature1,0.14086514100688025
idx34,feature1,0.16215428832948953
idx35,feature1,-0.3837602751574205
