index,response
id0,1
id1,0
id2,0
id3,0
id4,0
id5,1
id6,1
id7,0
id8,0
id9,1
id10,1
id11,1
id12,0
id13,0
id14,0
id15,1
id16,0
id17,1
id18,1
id19,1
id20,1
id21,0
id22,0
id23,1
id24,0
id25,1
id26,0
id27,0
id28,0
id29,1
id30,1
id31,1
id32,0
id33,1
id34,1
id35,0
id36,0
id37,0
id38,0
id39,0
id40,1
id41,1
id42,1
id43,0
id44,1
id45,1
id46,1
id47,0
id48,1
id49,1
id50,0
id51,0
id52,1
id53,1
id54,1
id55,1
id56,0
id57,1
id58,0
id59,1
id60,1
id61,1
id62,0
id63,1
id64,0
id65,1
id66,0
id67,0
id68,0
id69,0
id70,0
id71,0
id72,0
id73,1
id74,0
id75,1
id76,0
id77,0
id78,0
id79,1
id80,1
id81,0
id82,0
id83,0
id84,1
id85,0
id86,0
id87,0
id88,0
id89,0
id90,0
id91,1
id92,1
id93,1
id94,1
id95,0
id96,1
id97,0
id98,1
id99,0
id100,0
id101,0
id102,0
id103,1
id104,0
id105,1
id106,1
id107,0
id108,1
id109,0
id110,0
id111,1
id112,0
id113,0
id114,0
id115,1
id116,0
id117,0
id118,0
id119,1
id120,0
id121,0
id122,1
id123,1
id124,0
id125,1
id126,0
id127,0
id128,0
id129,1
id130,0
id131,1
id132,0
id133,0
id134,0
id135,1
id136,0
id137,0
id138,0
id139,1
id140,1
id141,1
id142,0
id143,0
id144,1
id145,1
id146,0
id147,0
id148,1
id149,0
id150,0
id151,1
id152,1
id153,1
id154,0
id155,1
id156,0
id157,0
id158,0
id159,1
id160,1
id161,0
id162,1
id163,1
id164,1
id165,0
id166,0
id167,1
id168,1
id169,0
id170,1
id171,1
id172,0
id173,1
id174,0
id175,1
id176,0
id177,0
id178,0
id179,1
id180,0
id181,1
id182,0
id183,1
id184,0
id185,1
id186,1
id187,1
id188,1
id189,0
id190,0
id191,0
id192,1
id193,1
id194,0
id195,1
id196,1
id197,0
id198,1
id199,1
id200,0
id201,1
id202,1
id203,0
id204,1
id205,0
id206,0
id207,0
